transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T9591,U034,08/22/2022,Expense,entertainment,5011,upi,,Uber ride
T5042,U008,13-07-2023,Expense,Travl,2082,Csh,DEL,Grocery shopping
T6831,U145,23-05-2022,Income,Freelance,43378,upi,,
T0131,U108,07-01-2023,Expense,Entertainment,4167,csh,pune,
T3349,U130,02-08-2022,Expense,Utilities,6260,CARD,Mumbai,Electricity bill
T5111,U051,09-02-2023,Expense,rent,747,Crd,chennai,!!!
T2986,U127,31-03-2021,Expense,travel,3645,,lucknow,Internet bill
T3113,U079,17-03-2023,Expense,Helth,5958,bank transfer,mumbai,misc
T5430,U061,12-08-2022,Income,Investment,49098,CASH,chennai,xyz123
T13440,U062,19-06-2022,Expense,Traval,3833,CARD,HYDERABAD,EMI payment
T1572,U097,02-06-2024,Expense,Education,2715,card,ahmedabad,asdfgh
T13022,U105,22-04-2023,Expense,utilities,₹9245,Bank Transfer,ahmedabad,Train ticket
T3628,U116,07-12-2024,Expense,Rentt,12316,cash,JAI,Medicine
T7622,U124,20-03-2024,Expense,entertainment,2561,Bank Transfr,,misc
T5287,U129,11-04-2024,Expense,Entertainment,6832,CASH,JAI,Fixed deposit
T6525,U061,23-04-2021,Expense,Rnt,Rs.9714,CASH,DEL,Gym membership
T11583,U036,20-10-2024,Income,Bonus,73654,Crd,Mumbai,asdfgh
T5046,U123,12/20/2023,Expense,rent,5622,Bank Transfer,jaipur,ATM withdrawal
T11781,U065,29-08-2024,Expense,Helth,,Card,DELHI,Fixed deposit
T9393,U030,31-07-2022,Expense,Traval,7748,card,BANGALORE,xyz123
T1258,U106,14-11-2022,Expense,RENT,4981,,Jaipur,...
T0928,U102,05/13/2022,Expense,Foodd,301,Card,HYDERABAD,Grocery shopping
T6037,U009,10-05-2024,Expense,FOOD,3830,card,,Gym membership
T12742,U139,18-10-2021,Expense,Travel,2985,UPI,KOLKATA,Gym membership
T7198,U069,01/27/2021,Income,Others,79870,Upi,PUN,Movie tickets
T2353,U082,02-12-2023,Expense,Foodd,4426,bank transfer,,Fixed deposit
T7335,U024,07/26/2024,Expense,Entertainment,3640,UPI,DELHI,EMI payment
T11646,U122,,Expense,travel,1583,Crd,AHM,Train ticket
T7798,U040,09-10-2023,Expense,Utility,₹9476,Upi,BAN,Movie tickets
T3213,U148,05/31/2023,Expense,travel,₹7070,upi,HYD,
T10710,U006,08-01-2023,Expense,Travel,7174,upi,chennai,Uber ride
T0922,U086,12-12-2022,Expense,Entertain,Rs.3159,BankTransfer,AHMEDABAD,
T13698,U094,,Expense,Utilities,7296,Bank Transfer,DEL,Petrol
T5592,U028,24-03-2023,Expense,health,1606,upi,Lucknow,Fixed deposit
T2671,U058,31-12-2021,Expense,Rnt,9434,upi,lucknow,
T6020,U092,03-08-2022,Expense,Food,3280,Bank Transfr,jaipur,xyz123
T10398,U069,06-10-2022,Income,Investment,15131 INR,Cash,N/A,asdfgh
T9004,U011,23-11-2022,Expense,EDU,886,Csh,Ahmedabad,Train ticket
T7005,U026,20-11-2022,Expense,Rentt,7109,BankTransfer,DELHI,asdfgh
T12998,U146,12-08-2022,Expense,entertainment,4201,csh,Jaipur,Electricity bill
T3988,U129,23-02-2024,Expense,Fod,655,bank transfer,HYD,ATM withdrawal
T5319,U037,10-03-2023,Income,,61598,Cash,chennai,Medicine
T3862,U042,10/16/2022,Income,Investment,44066,Cash,KOLKATA,Grocery shopping
T5165,U126,12-12-2024,Income,Others,224611,Upi,DEL,Movie tickets
T4714,U112,05/30/2024,Expense,Rent,46284,UPi,Ahmedabad,N/A
T4195,U097,01-02-2024,Income,Bonus,174110,card,lucknow,Gym membership
T11757,U068,21-09-2024,Expense,food,2044,BankTransfer,Pune,Online course
T10285,U040,01/29/2024,Expense,Savings,5277,UPI,kolkata,
T10345,U058,25-07-2021,Expense,Rent,47843 INR,UPi,kolkata,EMI payment
T8961,U043,19-05-2021,Expense,Traval,1115,CRD,BAN,Internet bill
T0428,U006,09-10-2021,Expense,Foodd,2017,Bank Transfer,Bangalore,Medicine
T9117,U119,05/28/2021,Expense,education,2053,Bank Transfr,CHE,Gym membership
T9348,U007,29-01-2022,Expense,Entertain,8839,cash,chennai,
T3503,U017,15-01-2022,Expense,Entrtnmnt,9635,Csh,Lucknow,Gym membership
T11648,U132,13-04-2022,Income,Salary,₹56581,Bank Transfr,mumbai,test
T0481,U108,17-07-2023,Expense,Utility,392,bank transfer,pune,Uber ride
T0341,U063,,Expense,Savings,6027,Bank Transfer,Lucknow,Monthly rent payment
T2248,U048,12-10-2024,Expense,Rent,26916,Csh,KOLKATA,Petrol
T3455,U150,09/27/2022,Expense,Foods,994,,kolkata,test
T12178,U072,02-02-2022,Income,Salary,63125,Csh,chennai,misc
T4186,U002,11-11-2022,Expense,Foods,175,Bank Transfer,CHE,xyz123
T9132,U067,10-08-2022,Income,Freelance,24394,upi,DELHI,Monthly rent payment
T2400,U126,14-10-2021,Income,Investment,67910,cash,delhi,Gym membership
T8437,U143,20-07-2024,Expense,EDU,9531,upi,Lucknow,Gym membership
T8881,U090,05-11-2022,Expense,Utilties,₹7838,UPi,BANGALORE,Electricity bill
T10071,U043,09/26/2021,Expense,Fod,2511,card,CHENNAI,Online course
T13867,U026,11-09-2023,Expense,Saving,7734,cash,,Internet bill
T13196,U061,16-06-2024,Expense,RENT,1461,upi,JAI,Coffee
T5099,U008,10-12-2024,Expense,EDU,2398,Bank_Transfer,chennai,Grocery shopping
T1027,U011,03/21/2024,Income,Freelance,33170,Card,KOLKATA,Restaurant dinner
T2238,U023,24-09-2023,Expense,TRAVEL,7858,,KOL,Grocery shopping
T12671,U139,30-10-2024,Expense,food,3913,CARD,hyderabad,Shopping
T4155,U042,09-12-2022,Expense,Travel,5279,csh,jaipur,Lunch
T8170,U148,02-08-2021,Expense,Savings,₹4694,Upi,ahmedabad,Monthly rent payment
T11558,U012,20-08-2024,Expense,Food,2060,UPI,hyderabad,Fixed deposit
T11219,U135,12-11-2021,Expense,Rentt,32436,Crd,,
T13688,U003,01-12-2024,Expense,food,7717,,lucknow,ATM withdrawal
T12772,U145,02-12-2023,Income,Others,$42921,Csh,MUMBAI,misc
T13289,U072,23-12-2022,Expense,Foodd,3021,Bank Transfer,Ahmedabad,xyz123
T9714,U092,25-12-2022,Expense,Food,562 INR,CARD,chennai,
T6767,U099,03-08-2024,Expense,Fod,1574,Crd,DELHI,ATM withdrawal
T12720,U031,30-10-2024,Expense,,Rs.6879,csh,LUC,Movie tickets
T0721,U005,13-02-2022,Expense,RENT,5599,BankTransfer,Bangalore,N/A
T3212,U143,15-02-2021,Expense,Entertainment,4374,Bank Transfer,Hyderabad,...
T8580,U118,10-01-2024,Expense,TRAVEL,552,Crd,delhi,Medicine
T11720,U080,03-02-2024,Expense,Utilties,₹1686,,chennai,asdfgh
T8316,U116,22-05-2021,Income,Investment,30473,bank transfer,DELHI,Shopping
T2817,U104,13-07-2024,Expense,Utilities,₹3325,UPI,KOL,
T9620,U088,,Expense,Rentt,46991,Upi,LUCKNOW,Lunch
T1400,U066,11/25/2023,Expense,Travl,5535,CRD,JAIPUR,Train ticket
T2220,U092,06-02-2022,Expense,Rentt,₹33228,UPi,JAI,Electricity bill
T9269,U093,29-03-2021,Expense,Rent,999999,bank transfer,BAN,misc
T6710,U008,11-12-2023,Income,Freelance,44802,card,LUC,Uber ride
T7206,U142,01-03-2023,Expense,rent,9188,CARD,AHMEDABAD,Medicine
T7386,U054,08-09-2021,Expense,Educaton,8716,Bank Transfer,Pune,Books
T0019,U011,23-03-2021,Expense,Education,9273,card,BAN,!!!
T13011,U031,28-06-2023,Expense,Rent,39845,CASH,Delhi,Restaurant dinner
T5686,U139,25-02-2021,Income,Salary,18231,upi,DELHI,Train ticket
T13942,U125,06-05-2022,Expense,FOOD,9636,Cash,MUMBAI,Grocery shopping
T10500,U042,03/30/2024,Expense,education,7121,csh,Chennai,Fixed deposit
T1516,U076,09/23/2023,Expense,health,5447,Upi,Mumbai,Shopping
T4498,U109,26-10-2024,Expense,OTHERS,2163,CRD,CHENNAI,Uber ride
T0053,U089,09-05-2022,Expense,food,$6402,Upi,KOLKATA,Monthly rent payment
T5945,U039,13-02-2022,Expense,Rentt,19467,BankTransfer,bangalore,Gym membership
T4812,U066,09-08-2022,Expense,Helth,1336,Cash,AHMEDABAD,N/A
T4854,U111,05/16/2024,Expense,Travl,7761,Cash,BANGALORE,Coffee
T5368,U033,03-12-2024,Expense,,9556,BankTransfer,LUCKNOW,!!!
T8845,U040,03-02-2024,Expense,Utilties,8138,Bank_Transfer,PUNE,Fixed deposit
T7231,U038,22-11-2023,Income,,13959,csh,Chennai,ATM withdrawal
T2058,U121,17-11-2022,Expense,Savings,3084,Csh,JAI,Train ticket
T12121,U105,23-07-2021,Expense,education,Rs.887,upi,KOL,Fixed deposit
T7330,U147,21-12-2023,Expense,FOOD,7874,Bank Transfer,PUNE,EMI payment
T8770,U028,01/23/2024,Expense,Utilties,7174,upi,BANGALORE,Medicine
T13194,U017,20-09-2022,Expense,Traval,₹5391,,JAIPUR,test
T8201,U104,07-12-2023,Expense,Utilties,4771,Bank Transfr,PUN,Medicine
T11881,U089,06/22/2023,Expense,entertainment,9430,BankTransfer,Lucknow,
T12496,U018,09/28/2023,Expense,FOOD,5045,Cash,CHE,Gym membership
T6321,U138,11-01-2021,Expense,Rent,29287,Card,DEL,Internet bill
T9997,U105,06/23/2022,Expense,Travel,9991,Bank Transfer,,Grocery shopping
T6756,U091,09-11-2023,Expense,Educaton,3891,cash,Hyderabad,misc
T3533,U130,02/28/2024,Expense,Rentt,37865,UPI,Bangalore,test
T6023,U033,30-07-2023,Expense,Rent,,Bank Transfer,,EMI payment
T11620,U149,05/29/2022,Expense,others,4955,CARD,CHENNAI,Movie tickets
T1544,U083,05/29/2021,Expense,RENT,9757,Bank_Transfer,HYDERABAD,
T5786,U149,10-07-2023,Income,Salary,₹43818,Bank_Transfer,DELHI,
T4990,U093,02/15/2022,Expense,Traval,3607,card,AHMEDABAD,Medicine
T5113,U094,16-05-2024,Expense,Health,₹1150,Bank Transfer,PUNE,Online course
T0591,U021,01-11-2023,Expense,others,999999,Bank Transfer,MUMBAI,...
T7367,U063,04/28/2024,Expense,Foodd,1453,Crd,Lucknow,Train ticket
T7885,U040,24-02-2021,Income,Salary,69923,bank transfer,HYD,!!!
T8892,U063,08-10-2022,Expense,food,9369,Bank Transfr,Hyderabad,Grocery shopping
T1799,U086,31-05-2022,Expense,Foodd,2186,Bank Transfer,Chennai,Train ticket
T13397,U132,05-04-2023,Expense,entertainment,2642,CASH,delhi,...
T6170,U073,06-11-2021,Income,Investment,$27454,,KOLKATA,EMI payment
T4918,U130,01-05-2022,Expense,Rentt,20656,Card,Kolkata,
T13238,U059,01/30/2023,Income,Investment,₹10347,Csh,BAN,Monthly rent payment
T3437,U092,28-08-2023,Income,Salary,,Crd,JAIPUR,Shopping
T9845,U086,08/31/2022,Expense,TRAVEL,388,CARD,MUMBAI,Shopping
T12697,U004,30-10-2023,Expense,Foods,,Upi,jaipur,Coffee
T3845,U117,09-05-2022,Expense,FOOD,3756,bank transfer,JAIPUR,Grocery shopping
T9152,U068,07/25/2023,Expense,others,4153,UPI,DEL,...
T5889,U061,08/19/2024,Income,Bonus,36129,Upi,KOL,Books
T1409,U060,08-01-2021,Expense,Travl,384,Bank Transfr,Delhi,Coffee
T13399,U119,07/14/2022,Expense,Entertainment,3700,CARD,AHM,Doctor consultation
T7644,U076,26-04-2022,Expense,Foodd,3901,Bank Transfr,Lucknow,Monthly rent payment
T0997,U087,12/23/2023,Expense,RENT,3507,upi,delhi,xyz123
T8909,U002,27-06-2024,Expense,Entrtnmnt,9883 INR,CASH,CHE,asdfgh
T10044,U062,06-09-2022,Income,Salary,63348,Card,KOLKATA,Petrol
T0328,U095,12-12-2024,Income,Investment,45361,Card,hyderabad,Electricity bill
T1479,U045,08/20/2021,Expense,food,236,CASH,N/A,Online course
T6902,U016,14-12-2023,Expense,RENT,6168,,MUMBAI,Lunch
T2648,U033,26-03-2021,Expense,rent,6798,csh,BANGALORE,Shopping
T12733,U057,06-04-2021,Expense,Foodd,4051,Card,Bangalore,Grocery shopping
T11044,U145,30-09-2024,Expense,Saving,7998,upi,Lucknow,EMI payment
T4115,U053,10-09-2023,Expense,Foods,1255,Bank Transfr,BAN,Movie tickets
T13558,U080,08-09-2021,Expense,Travl,1621 INR,CARD,mumbai,xyz123
T12420,U044,28-09-2022,Expense,Utilties,6725,cash,Chennai,...
T3532,U121,,Expense,HEALTH,6113,CARD,DELHI,Shopping
T9183,U137,04-01-2021,Expense,Foods,2799,CASH,Hyderabad,Shopping
T7634,U033,13-01-2022,Expense,utilities,4958,Bank_Transfer,PUN,
T5344,U122,21-01-2022,Expense,Foods,1099,Bank_Transfer,lucknow,Books
T13242,U031,13-11-2022,Expense,Educaton,5642,CARD,BAN,Gym membership
T4096,U047,25-03-2024,Expense,Rnt,1020,Cash,BAN,
T0987,U049,05/20/2024,Expense,FOOD,3738,Bank Transfer,MUMBAI,
T7842,U087,07-12-2023,Expense,Rnt,3192,Csh,KOLKATA,
T6844,U012,21-05-2023,Expense,Health,7691,Upi,JAIPUR,
T4457,U139,12-08-2023,Expense,Traval,9222,Card,CHE,xyz123
T5843,U124,26-05-2021,Expense,Entertainment,₹4241,cash,hyderabad,Grocery shopping
T8397,U144,17-12-2023,Expense,FOOD,1180,BankTransfer,kolkata,Medicine
T12986,U022,,Expense,Foods,$1889,Card,Kolkata,EMI payment
T1364,U048,17-02-2021,Expense,Rent,36056,Upi,mumbai,
T6632,U009,10-05-2023,Expense,Rentt,6358,CRD,BANGALORE,Uber ride
T2424,U069,15-08-2022,Expense,rent,5345,Bank Transfer,CHENNAI,EMI payment
T9900,U048,04/30/2021,Expense,Travl,702,Bank_Transfer,lucknow,Petrol
T0903,U102,20-12-2023,Expense,entertainment,7292,UPI,Pune,Movie tickets
T3847,U134,11-10-2022,Expense,Utility,941,Cash,kolkata,Fixed deposit
T13825,U127,17-11-2024,Expense,food,6574,UPi,DEL,Petrol
T3164,U023,26-11-2024,Expense,TRAVEL,409,UPI,Pune,ATM withdrawal
T12585,U136,07-03-2022,Income,Others,32906 INR,UPi,kolkata,Gym membership
T5542,U018,14-10-2021,Expense,Travl,0,BankTransfer,JAI,Restaurant dinner
T5327,U072,14-12-2023,Expense,Foods,3903,Cash,DEL,Grocery shopping
T8454,U087,05/24/2021,Expense,Traval,9694,cash,JAI,misc
T12124,U037,09-08-2024,Expense,Entertainment,₹9013,Upi,BANGALORE,
T4591,U091,09-05-2022,Expense,Utilties,1980,Csh,Jaipur,Lunch
T12097,U132,09-04-2021,Expense,utilities,7818,UPI,Jaipur,Internet bill
T12210,U118,25-01-2022,Expense,Rentt,20509,Bank Transfr,bangalore,Train ticket
T2661,U078,09-01-2024,Expense,Rnt,$9237,Upi,AHM,
T6007,U138,04-03-2022,Expense,SAVINGS,6682,CASH,MUM,Movie tickets
T4407,U143,29-07-2022,Expense,Education,6714,bank transfer,Hyderabad,
T5887,U060,08/23/2021,Expense,TRAVEL,8859,Cash,KOLKATA,Internet bill
T6734,U110,03-06-2024,Expense,TRAVEL,1098,,PUN,
T9475,U092,11-06-2023,Income,Freelance,35719,UPI,Pune,Fixed deposit
T4511,U107,06-07-2022,Expense,Travl,6170,CRD,BANGALORE,
T12067,U046,09/23/2023,Expense,Food,2318,BankTransfer,mumbai,Gym membership
T9561,U117,03-11-2022,Expense,Traval,6354,Bank Transfer,LUCKNOW,
T9929,U102,15-03-2023,Expense,Utlities,8158,Crd,AHMEDABAD,ATM withdrawal
T5732,U038,08/16/2021,Expense,Foodd,1702,UPI,pune,Medicine
T9603,U145,28-06-2023,Expense,rent,6760,Bank_Transfer,Kolkata,Uber ride
T2106,U010,21-04-2023,Expense,Educaton,8201,UPI,JAI,Shopping
T0824,U007,04-03-2021,Expense,Entertainment,3219,UPI,LUCKNOW,Monthly rent payment
T8434,U061,,Expense,FOOD,4327,Bank Transfr,pune,Fixed deposit
T13434,U145,30-05-2022,Expense,Travel,Rs.2954,card,PUNE,misc
T9341,U059,10/15/2022,Expense,Helth,8122,BankTransfer,N/A,
T5459,U067,28-08-2021,Expense,HEALTH,1008,Upi,Jaipur,Medicine
T2041,U009,15-02-2023,Expense,SAVINGS,Rs.8382,UPi,lucknow,Internet bill
T3551,U025,23-09-2023,Expense,Traval,1372,CARD,MUMBAI,Train ticket
T10339,U081,05-05-2022,Income,Freelance,₹46281,upi,HYD,EMI payment
T8081,U100,12/14/2021,Expense,Utility,₹6566,Bank Transfr,MUMBAI,
T5647,U082,10-05-2023,Expense,Helth,₹984,Card,BANGALORE,Online course
T4580,U149,11-07-2023,Expense,TRAVEL,₹1259,CRD,pune,Monthly rent payment
T2200,U089,,Expense,Fod,2072,Csh,KOLKATA,Movie tickets
T8724,U074,09/24/2024,Income,Bonus,₹46784,Cash,,Shopping
T3529,U017,23-01-2024,Expense,Entertain,Rs.7393,cash,Bangalore,Online course
T0924,U133,13-09-2023,Income,Salary,56971,Csh,PUNE,Coffee
T13214,U004,09-09-2023,Expense,Educaton,₹9349,Bank_Transfer,,Coffee
T6638,U084,02-08-2023,Expense,travel,₹1868,CASH,Bangalore,Grocery shopping
T9811,U048,06-01-2024,Expense,RENT,2774,Bank Transfr,PUNE,Internet bill
T1789,U038,31-05-2022,Income,Salary,₹30722,CRD,JAIPUR,...
T1978,U035,01-02-2024,Expense,Traval,2481,Bank Transfr,Jaipur,xyz123
T1222,U121,11-01-2021,Expense,Utility,₹8855,UPi,Delhi,asdfgh
T8043,U007,11-10-2022,Expense,Education,$3954,Bank Transfr,N/A,xyz123
T11433,U004,05-11-2021,Expense,Food,4941,bank transfer,Mumbai,Medicine
T11885,U128,04/21/2024,Expense,Foods,2043,Csh,BAN,Gym membership
T4257,U104,06/26/2024,Expense,RENT,6574,CASH,LUCKNOW,Coffee
T13042,U008,28-07-2022,Expense,Foodd,2392,Bank Transfr,Jaipur,Gym membership
T1288,U071,23-12-2024,Expense,health,6626,bank transfer,lucknow,Monthly rent payment
T12635,U026,22-07-2024,Expense,Foods,3054,cash,Pune,test
T3008,U055,30-07-2022,Income,Freelance,37631,CRD,MUM,Fixed deposit
T6709,U067,21-12-2023,Expense,Rentt,38973,UPI,DEL,Fixed deposit
T4064,U127,11-04-2023,Expense,Foodd,3980,UPi,PUNE,Petrol
T9245,U041,24-05-2021,Expense,Educaton,8729,UPi,LUCKNOW,Train ticket
T6899,U106,30-10-2022,Expense,Entrtnmnt,7773,Csh,LUCKNOW,Petrol
T0874,U136,09-07-2021,Expense,health,$210,UPi,Bangalore,
T4836,U123,17-12-2023,Expense,Foods,2611,Csh,PUNE,Gym membership
T12202,U037,11-02-2022,Expense,Rent,34418,UPi,Chennai,Books
T4056,U143,24-08-2021,Expense,Other,4883,Crd,CHENNAI,Shopping
T0449,U128,28-07-2021,Expense,entertainment,1652,CRD,Hyderabad,
T13189,U021,17-03-2021,Expense,Saving,8006,cash,N/A,xyz123
T4959,U150,06-10-2022,Expense,RENT,6829,cash,JAI,misc
T8420,U136,03-06-2021,Expense,utilities,4713,cash,BAN,Doctor consultation
T10250,U057,20-12-2024,Income,Salary,14297,Bank Transfr,Mumbai,Electricity bill
T4214,U036,13-12-2021,Expense,Foodd,2087,card,bangalore,!!!
T12332,U054,30-04-2023,Income,Others,11168,bank transfer,mumbai,Shopping
T0949,U144,06-04-2023,Expense,food,5997,CRD,bangalore,!!!
T7649,U029,07-10-2023,Expense,Entertainment,,Card,Chennai,Lunch
T2428,U029,16-12-2023,Expense,Entertainment,8195,cash,Hyderabad,misc
T5449,U035,19-04-2023,Expense,Foods,4677,CARD,Jaipur,EMI payment
T0494,U034,15-07-2022,Income,Bonus,59853,card,AHMEDABAD,Electricity bill
T11981,U128,04/26/2022,Expense,Entertainment,464,upi,Chennai,
T11887,U009,15-04-2023,Expense,Rent,48330,UPi,LUC,xyz123
T10700,U126,11/28/2023,Expense,Rnt,,CRD,lucknow,Online course
T5579,U030,06-06-2023,Expense,Helth,8757,Bank Transfer,AHMEDABAD,asdfgh
T11783,U121,01-07-2022,Expense,Traval,5855,csh,kolkata,Doctor consultation
T12587,U133,10-02-2024,Expense,Saving,3444,CRD,ahmedabad,Monthly rent payment
T9551,U010,,Expense,Entertain,7010,Csh,CHE,test
T3025,U146,12/19/2022,Expense,Rent,14582,upi,DEL,Internet bill
T7626,U147,,Income,Bonus,14412,cash,HYD,Lunch
T12272,U136,15-04-2023,Income,Salary,18733,Card,AHM,!!!
T5026,U009,07/16/2024,Expense,food,3702,Upi,Mumbai,
T13932,U147,21-11-2023,Expense,Educaton,₹6062,Bank_Transfer,lucknow,!!!
T7669,U082,04-08-2023,Expense,food,9155,Csh,MUMBAI,EMI payment
T0924,U133,13-09-2023,Income,Salary,56971,Csh,PUNE,Coffee
T1165,U017,04-04-2023,Expense,Utility,4949,Cash,jaipur,
T5963,U081,03/21/2022,Expense,Utility,5066,BankTransfer,LUC,
T10275,U119,03-06-2022,Expense,FOOD,6432,Card,CHENNAI,N/A
T4226,U070,23-04-2021,Expense,Travel,₹1945,Bank Transfr,mumbai,N/A
T12985,U022,18-02-2023,Expense,Entertainment,7288,Card,delhi,Medicine
T3001,U099,07/14/2024,Expense,Education,4942,UPI,Bangalore,Monthly rent payment
T7356,U059,03-03-2022,Expense,Foodd,1443,CARD,KOL,Shopping
T7058,U036,14-09-2021,Income,Salary,66905,Card,MUM,test
T3582,U058,10-11-2023,Expense,Foods,1731,BankTransfer,pune,asdfgh
T12681,U061,24-07-2024,Expense,Entertainment,4462,Bank_Transfer,ahmedabad,Medicine
T3707,U107,20-02-2021,Expense,health,4343,CARD,BANGALORE,Train ticket
T2950,U135,04-11-2021,Expense,Food,842,UPI,bangalore,Monthly rent payment
T3609,U095,22-07-2023,Expense,Food,1969,csh,kolkata,Gym membership
T10866,U095,05-05-2024,Expense,Food,₹2811,Csh,lucknow,Online course
T5999,U045,21-10-2024,Expense,Rnt,1223,CRD,Hyderabad,Gym membership
T3159,U119,25-01-2023,Expense,Rentt,9301,cash,ahmedabad,Coffee
T5007,U080,02/28/2023,Income,Others,19382,Bank Transfer,AHMEDABAD,Doctor consultation
T0060,U038,12-01-2024,Expense,Food,2984,CRD,,Restaurant dinner
T11837,U126,28-01-2023,Expense,Fod,9399,Card,jaipur,ATM withdrawal
T1520,U024,05/23/2021,Expense,Rentt,-1000,card,DEL,asdfgh
T1448,U110,07-05-2022,Expense,Fod,845,CRD,chennai,Gym membership
T8400,U082,07-10-2022,Expense,Utilities,8421,Bank_Transfer,AHMEDABAD,Uber ride
T5292,U034,27-01-2022,Expense,Others,Rs.7687,Cash,DELHI,N/A
T0358,U097,10/23/2022,Expense,rent,8337,Upi,Chennai,
T12179,U042,13-04-2023,Expense,travel,5205,BankTransfer,Pune,Shopping
T2843,U097,02/18/2022,Expense,Utilities,4206,BankTransfer,Mumbai,xyz123
T0982,U005,,Expense,FOOD,$5937,UPi,JAI,Lunch
T9460,U014,08/30/2024,Expense,Foods,1690,Upi,Lucknow,
T7743,U090,05/24/2022,Income,,37280,upi,kolkata,Uber ride
T3030,U083,21-01-2024,Expense,Travel,744,bank transfer,CHENNAI,xyz123
T1421,U127,05-06-2022,Expense,Foodd,773 INR,Csh,Jaipur,Monthly rent payment
T11211,U068,24-12-2023,Expense,Educaton,4103,BankTransfer,pune,Movie tickets
T11014,U107,01-06-2021,Expense,Entertain,$3389,,ahmedabad,Electricity bill
T1121,U096,10/17/2023,Expense,SAVINGS,847,CARD,N/A,ATM withdrawal
T11298,U086,11-11-2021,Expense,Rentt,49400,CARD,CHE,ATM withdrawal
T8808,U073,07/18/2023,Expense,TRAVEL,5271,card,Hyderabad,xyz123
T7009,U004,05-04-2022,Expense,Travel,4005,Csh,JAIPUR,Fixed deposit
T5062,U114,10-08-2024,Expense,Educaton,9352,Bank Transfr,chennai,Doctor consultation
T4736,U113,04-10-2021,Expense,Education,$8679,csh,Mumbai,
T7426,U115,07/15/2023,Income,Freelance,61209,,Chennai,
T1835,U041,07/19/2023,Income,Salary,₹12429,card,,Online course
T8282,U108,08-02-2021,Expense,Rentt,,cash,Lucknow,Doctor consultation
T1617,U010,05/24/2021,Expense,entertainment,2583,BankTransfer,N/A,Doctor consultation
T13174,U064,21-11-2021,Expense,Entertainment,6829,card,Lucknow,Coffee
T11208,U006,11-06-2021,Expense,travel,9647,upi,PUNE,Gym membership
T1324,U047,06/30/2021,Expense,Fod,-1000,Cash,lucknow,Restaurant dinner
T13156,U047,04/24/2022,Expense,Travl,7482,Card,Pune,Internet bill
T10465,U085,06/30/2022,Expense,Utlities,9698,Cash,hyderabad,Doctor consultation
T0273,U137,02-12-2022,Expense,Savings,8773,Csh,HYDERABAD,EMI payment
T7155,U076,07-09-2022,Expense,Foods,2236,Cash,CHE,
T1069,U103,20-06-2023,Expense,Utility,4119,Csh,PUN,Online course
T2552,U019,27-09-2022,Income,Others,50800,UPi,KOL,Monthly rent payment
T12833,U059,16-09-2023,Expense,Rnt,1790,bank transfer,MUM,Shopping
T9201,U019,19-09-2022,Expense,food,788,Csh,pune,Online course
T10730,U008,04/15/2024,Expense,rent,$5717,Bank_Transfer,KOLKATA,Movie tickets
T3185,U132,28-04-2024,Expense,travel,2771,Upi,LUC,
T4506,U113,07-02-2021,Income,Bonus,222939,Bank Transfer,DELHI,Gym membership
T6940,U092,22-04-2021,Expense,Travl,$3869,Cash,chennai,Coffee
T8627,U054,22-12-2024,Expense,,Rs.2837,bank transfer,Pune,
T10707,U150,12-02-2024,Income,Salary,76239,CRD,mumbai,Internet bill
T11015,U138,08-02-2021,Expense,FOOD,5375,Upi,BAN,Movie tickets
T6233,U026,01-12-2021,Expense,Traval,4953,Upi,Mumbai,ATM withdrawal
T11312,U018,05-12-2022,Expense,utilities,4494,Bank Transfer,JAIPUR,
T5179,U050,27-03-2021,Expense,Fod,₹619,CRD,bangalore,Lunch
T8773,U004,24-09-2023,Expense,Traval,5649,BankTransfer,jaipur,
T12753,U059,23-06-2023,Expense,Travl,845,Upi,ahmedabad,Restaurant dinner
T8713,U041,12-01-2024,Income,Salary,37665,UPI,bangalore,Lunch
T1091,U033,30-10-2022,Expense,HEALTH,$740,bank transfer,BAN,Shopping
T11096,U064,18-08-2024,Income,Investment,77578,csh,bangalore,
T7666,U009,11/27/2024,Expense,Travl,7815,UPI,N/A,
T3826,U111,27-03-2024,Expense,Foods,2158,card,DEL,test
T6281,U027,08-07-2024,Expense,Foodd,₹3765,Bank_Transfer,MUMBAI,Internet bill
T2649,U023,27-12-2022,Expense,Rnt,4039,Upi,kolkata,EMI payment
T3645,U085,10-07-2023,Expense,Utilities,4218,card,BANGALORE,xyz123
T13724,U096,28-08-2022,Expense,rent,1009,UPi,KOL,asdfgh
T4315,U049,16-04-2022,Expense,Foodd,2220,Bank Transfer,MUMBAI,Train ticket
T4131,U032,07-02-2023,Expense,Food,1969,CARD,Jaipur,Movie tickets
T0599,U010,06/23/2022,Expense,RENT,3050,BankTransfer,pune,N/A
T6679,U006,29-07-2022,Income,Freelance,50581,Upi,N/A,Internet bill
T3446,U036,19-11-2022,Income,Salary,65464,UPi,Kolkata,Uber ride
T4680,U003,10-03-2022,Expense,Food,₹3207,Bank_Transfer,DEL,Grocery shopping
T3972,U027,01-05-2022,Expense,education,8479,upi,Jaipur,Uber ride
T11462,U147,13-04-2024,Expense,Food,861,UPi,hyderabad,Shopping
T11490,U127,08-01-2024,Income,Others,34452,CRD,PUN,Internet bill
T2973,U052,24-07-2023,Expense,Rnt,9804,CASH,Bangalore,Medicine
